,username,date,tweet,concept,polarity,emotion
3483,AndrewTAviation,2021-11-01 10:32:55,First trip since Covid started !  Let's go !! @ Changi Airport Terminal 1 Gate D46  https://t.co/Na995PDizB,"['let go', 'airport terminal', 'trip', 'covid', 'gate']",NEGATIVE,"['#sadness', '#serenity']"
3482,_rodahidup,2021-11-01 13:59:54,"Singapore 'making progress' on COVID-19 front, but PM Lee warns about potential 'surprises'     https://t.co/RLywzH4F50","['progress', 'covid', 'warns', 'surprises']",NEGATIVE,"['#grief', '#loathing']"
3481,Shuraim_Basir,2021-11-01 22:22:06,My mom just contracted Covid. Wtf.,"['covid', 'wtf']",NEGATIVE,"['#anger', None]"
3480,_rodahidup,2021-11-01 23:05:19,WHO calls for more experts to study Covid-19's disputed origins  https://t.co/5h7quPAsHs,"['study', 'covid', 'disputed', 'origin']",NEGATIVE,"['#grief', '#loathing']"
3479,_rodahidup,2021-11-01 23:21:27,"2,470 new Covid-19 cases in S'pore, 14 deaths; weekly infection growth rate down to 1.05  https://t.co/OurmJosHqq","['down to', 'growth rate', 'new', 'covid', 'pore', 'death', 'weekly', 'infection']",NEGATIVE,"['#sadness', None]"
3478,jerry991953,2021-11-01 23:24:58,"Covid-19 infections in S’pore crosses 200,000 mark as 2,470 new cases reported; 14 more deaths bring tally to 421  https://t.co/oHXVDmZLlT via @TODAYonline","['covid', 'infection', 'pore', 'new', 'report', 'death', 'tally']",NEGATIVE,"['#grief', None]"
3477,_rodahidup,2021-11-02 03:37:10,"About 60 unvaccinated seniors get Covid-19 every day, six likely to end up in ICU  https://t.co/F9eNX8OwXm","[NOT 'vaccine', 'senior', 'covid', 'end']",NEGATIVE,"['#grief', '#loathing']"
3476,_rodahidup,2021-11-02 03:39:02,China grows more isolated as Asia Pacific neighbors start living with Covid-19   https://t.co/DDlFDqnXTp,"['isolated', 'pacify', 'neighbors', 'covid']",NEGATIVE,"['#grief', None]"
3475,_rodahidup,2021-11-02 03:41:50,Romania is seeing record Covid cases. Autopsist says it goes beyond his training   https://t.co/KJxeEZQ8xU,"['see', 'record', 'covid', 'autopsy', 'training']",NEGATIVE,"['#terror', '#loathing']"
3474,KamLarrykam,2021-11-02 08:48:44,Fluvoxamine: a $4 Antidepressant That Reduces COVID 19 Hospitalizations  https://t.co/na62ByCgwq via @YouTube,"['antidepressant', 'reduces', 'covid', 'hospitalization']",NEGATIVE,"['#grief', '#loathing']"
3473,_rodahidup,2021-11-02 11:32:19,White House says 15 million COVID-19 shots will roll out to children by next week     https://t.co/V5NcVm90Wd,"['house', 'covid', 'roll']",NEGATIVE,"['#grief', '#loathing']"
3472,_sugababygirl,2021-11-02 12:19:50,"Deserved! #LifeGoesOn is the song I will be able to relate to, drawing the story of the pandemic. covid or not,  life goes on ~","['relate', 'pandemic', 'covid']",NEGATIVE,"['#grief', '#loathing']"
3471,KamLarrykam,2021-11-02 12:46:21,There is hope for Covid 19.  Fluvoxamine  https://t.co/na62ByCgwq,"['hope', 'covid']",NEGATIVE,"['#sadness', None]"
3470,_rodahidup,2021-11-02 13:50:40,Workload for teachers ‘more than doubled’ during COVID-19 pandemic: Chan Chun Sing     https://t.co/VXrBeztk3G,"['workload', 'teach', 'covid', 'pandemic', 'chan', 'sing']",NEGATIVE,"['#grief', '#loathing']"
3469,HarmanHarison,2021-11-02 13:54:17,Is it now becoming a trend to joke about getting Covid? Is that how we normalize the pandemic?,"['joke', 'covid', 'normalize', 'pandemic']",POSITIVE,"['#eagerness', '#grief']"
3468,SyahidsaHoarder,2021-11-03 00:00:55,One thing I learnt from catching Covid is that the balls get warmer and so does the piss,"['catching', 'covid', 'warmer', 'piss']",NEGATIVE,"['#grief', '#loathing']"
3467,_rodahidup,2021-11-03 04:18:32,99-year-old had Covid-19 but family kept him at home until his death according to his wishes  https://t.co/O6WFtTMnr0,"[NOT 'covid', 'family', 'home', NOT 'tile', 'death', 'accord', 'wishes']",NEGATIVE,"['#grief', None]"
3466,_rodahidup,2021-11-03 04:19:41,"S'pore could see 2,000 Covid-19 deaths yearly; Govt using vaccines, boosters to stem spread: Janil  https://t.co/YCwqxQJQEs","['pore', 'see', 'covid', 'death', 'vaccine', 'booster', 'spread']",NEGATIVE,"['#sadness', None]"
3465,freddjohns,2021-11-03 09:10:52,"@OMasood8842 @Leahgreenb People voted for ‘not Trump’, not Joe Biden and his ‘progressive platform’. Could have been a man in a monkey suit and people would have voted for him. People did not vote for: cut-and-run in afghanistan, no covid plan.","['voted for', 'run in', NOT 'joey', 'bide', 'platform', 'monkey', 'suit', 'cut', NOT 'covid']",NEGATIVE,"['#rage', '#terror']"
3464,Tringapore_98,2021-11-03 13:04:35,Fuck my ward has a covid case. And I'm having a fever. Looks like I ain't going home today....,"['fuck', 'ward', 'covid', 'fever', 'home']",POSITIVE,"['#calmness', None]"
3463,iekmayo,2021-11-03 19:04:24,does anyone else find it super weird that cafes and restaurants don’t play ANY music at all now (no thanks to covid),"['cafe', 'restaurant', 'play music', 'super', 'weird', NOT 'thanks', 'covid']",NEGATIVE,"['#grief', '#terror']"
3462,Umeshbkk,2021-11-03 19:43:08,My 1st 7 km after Covid-19 infection. 12 days after infection. Means my lungs were not impacted. วิว7 กิโลเมตร หลังจากติดโควิดมาเพียง12 วัน ดีใจที่ปอดผมไม่โดนกระทบครับ 😜. @ Marina Bay Cruise Centre Singapore  https://t.co/RoJmeOXLnA,"['covid', 'infection', 'mariner', 'cruise']",NEGATIVE,"['#loathing', '#grief']"
3461,_rodahidup,2021-11-03 23:50:24,"Hong Kong's Covid-19 contact tracing app not the most important tool, say experts  https://t.co/KYek237ClV","['hong', 'covid', 'tracing', NOT 'important', 'tool', 'say']",NEGATIVE,"['#rage', '#grief']"
3460,_rodahidup,2021-11-03 23:52:13,Recovered Covid-19 patients in Hong Kong must now serve 14-day quarantine  https://t.co/FaCncqlupV,"['covid', 'hong', 'serve', 'quarantine']",NEGATIVE,"['#rage', '#grief']"
3459,dwallbank,2021-11-04 00:03:50,Update: Singapore hit its case reduction target that was a stated condition for slightly easing Covid curbs.,"['update', 'hit', 'reduction', 'target', 'condition', NOT 'ease', 'covid', 'curb']",NEGATIVE,"['#terror', '#grief']"
3458,_rodahidup,2021-11-04 00:12:45,"S'pore reports 3,635 new Covid-19 cases; weekly infection growth rate down to 0.96  https://t.co/TI5OsND7NN","['down to', 'growth rate', 'pore', 'new', 'covid', 'weekly', 'infection']",NEGATIVE,"['#sadness', None]"
3457,_rodahidup,2021-11-04 03:46:02,Fact Check-Merck’s experimental COVID-19 antiviral drug is not ‘repackaged ivermectin’ | Article [AMP] | Reuters  https://t.co/ua2go1RkSq,"['antiviral drug', 'experiment', 'covid', 'reuter']",POSITIVE,"['#ecstasy', '#enthusiasm']"
3456,waimae23,2021-11-04 21:33:37,"COVID-19 crisis impact: More gender equality in the workplace could come for women in the workplace of the future, despite the impact of the pandemic on their personal and professional lives  https://t.co/oHHRe4q7Em via @CreditSuisse","['gender equality', 'covid', 'crisis', 'impact', 'workplace', 'come', 'pandemic', 'live']",POSITIVE,"['#ecstasy', '#delight']"
3455,_rodahidup,2021-11-05 03:48:06,"Singapore reports 3,003 new COVID-19 cases, 17 more deaths     https://t.co/yEJm4AW7Wa","['new', 'covid', 'death']",NEGATIVE,"['#grief', None]"
3454,_rodahidup,2021-11-05 16:12:00,Commentary: Why people have volunteered for COVID-19 vaccine trials – even in Singapore     https://t.co/OVP6Rb4zMv,"['volunteered', 'covid', 'vaccine', 'trial']",NEGATIVE,"['#grief', '#loathing']"
3453,yienchong_chen,2021-11-05 16:38:39,@TwiddyBird62 @ChannelNewsAsia Long time never fly due to COVID. Must start practice again,"['time', NOT 'fly', 'covid']",NEGATIVE,"['#grief', '#loathing']"
3452,_rodahidup,2021-11-05 19:53:33,"Public healthcare workers to get up to S$4,000 cash award for efforts in fight against COVID-19     https://t.co/pTuXQSXJot","['healthcare', 'cash', 'award', 'fight', NOT 'covid']",NEGATIVE,"['#sadness', '#dislike']"
3451,_rodahidup,2021-11-05 20:21:05,@DrAmarMOH Singapore gov't gave Public Healthcare workers S$4k cash award for role against Covid-19. @Khairykj @DGHisham @IsmailSabri60  https://t.co/DJ67WGwM7V,"['healthcare', 'cash', 'award', NOT 'covid']",NEGATIVE,"['#sadness', None]"
3450,_rodahidup,2021-11-05 21:38:33,Pfizer says antiviral pill cuts risk of severe COVID-19 by 89%     https://t.co/bjW3vdukIB,"['pill', 'risk', 'severe', 'covid']",NEGATIVE,"['#rage', '#terror']"
3449,pianzyyy,2021-11-06 17:22:12,"whatever event singapore is having that attracts hundreds of people, i ain’t going. covid-19 is calling","['attracts', 'covid']",NEGATIVE,"['#grief', '#loathing']"
3448,_rodahidup,2021-11-06 18:31:48,COVID-19 treatment facility at F1 Pit Building to accept patients from Nov 9     https://t.co/IBlYTW3fpy,"['covid', 'treatment', 'facile', 'pit', 'accept', 'nova']",NEGATIVE,"['#terror', '#loathing']"
3447,azwanyyyyy,2021-11-06 20:24:17,Man the worst thing about having covid is the loss of taste,"['worst', 'covid', NOT 'taste']",POSITIVE,"['#sadness', '#rage']"
3446,honorharger,2021-11-06 21:17:03,"For those of us in Singapore, I recommend this article by  Teo Yik Ying from NUS &amp; Vernon Lee of the Communicable Diseases Division at MOH. It puts the fatalities from Covid-19 in context, comparing them with fatalities from other respiratory diseases.  https://t.co/t4XC2Bftbm","['recommend', 'communicable', 'diseases', 'division', 'puta', 'fatality', 'covid', 'compare', 'respiratory']",NEGATIVE,"['#sadness', None]"
3445,boyshawn89,2021-11-06 21:19:10,Haiz... Not that I wanna purposely report. But I can see everyone already hanging out in big group now. I guess the covid restriction is wearing people already. 😩,"['hanging out', 'hay', 'purposely', 'report', 'see', 'group', 'covid', 'restriction', 'weary']",NEGATIVE,"['#annoyance', None]"
3444,_rodahidup,2021-11-07 03:01:27,South Korea launches panel to debate 'living with COVID-19'  https://t.co/Gsd258gWOc,"['korey', 'launches', 'panel', NOT 'bat', 'covid']",NEGATIVE,"['#grief', '#loathing']"
3443,_rodahidup,2021-11-07 03:02:08,South Korea loosens restrictions in step toward 'living with Covid-19'  https://t.co/RVDfIC71KX,"['korey', 'restrictions', 'covid']",NEGATIVE,"['#grief', '#loathing']"
3442,_rodahidup,2021-11-07 03:31:23,Why South Korea Covid-19 is low?  https://t.co/8HPsGjBGFB,"['korey', 'covid', 'low']",NEGATIVE,"['#sadness', None]"
3441,_rodahidup,2021-11-07 07:03:30,An inside look at how TTSH battled back after becoming Singapore's first COVID-19 hospital cluster     https://t.co/u5bR9y5Kaa,"['look', 'battle', 'covid', 'hospital']",NEGATIVE,"['#grief', '#loathing']"
3440,_rodahidup,2021-11-07 14:06:42,COVID-19 spreads through the air. Here's what you can do about it this winter  https://t.co/D18vSFH4id,"['covid', 'spreads', 'air']",NEGATIVE,"['#sadness', None]"
3439,LinetteMLim,2021-11-07 16:49:54,"Covid changed the calculus for all who lead transnational lives. So I'm grateful for the opportunity to visit home for work &amp; play. Woke up at 5.30am today to spend time with my folks, &amp; I'm marvelling at the freedom, mobility &amp; calmness that exists for a 3000-cases-a-day society  https://t.co/Z79f8T98EC","['covid', 'calculus', 'lead', 'transnational', 'live', 'grateful', 'home', 'work', 'play', 'woke', 'spend', 'time', 'folky', 'marvel', 'freedom', 'calmness']",NEGATIVE,"['#sadness', None]"
3438,_rodahidup,2021-11-07 19:19:06,Anti COVID-19 vaccination videos on YouTube channel removed for 'violating community guidelines': MOH     https://t.co/C944XemjAD,"[NOT 'covid', 'vaccine', 'removed', 'violating', 'community', 'guideline']",NEGATIVE,"['#sadness', None]"
3437,_rodahidup,2021-11-07 19:19:21,Developer of Malaysia’s COVID-19 contact tracing app apologises for wrongly giving some users quarantine status      https://t.co/SyJGLOaIhG,"['developer', 'covid', 'tracing', 'apologise', 'wrongly', 'giving', 'quarantine', 'status']",NEGATIVE,"['#grief', None]"
3436,cpgillespie,2021-11-07 22:28:03,@btcKaz Nothing experimental about COVID vaccines and big bird has been promoting medical science for decades.,"['medical science', NOT 'experiment', 'covid', 'vaccine', 'bird', 'promoting', 'decade']",NEGATIVE,"['#grief', '#loathing']"
3435,pianzyyy,2021-11-08 07:37:06,i hope y’all die from covid 👍,"['hope', 'die', 'covid']",POSITIVE,"['#joy', '#acceptance']"
3434,imjuanitaingram,2021-11-08 09:30:27,"This is the new norm. There’s no zero covid agenda here, this is living with covid and moving forward. Takes some getting use to but I get it. Almost 99% with no or mild symptoms. 85% fully vaccinated population.","['moving forward', 'new', 'norm', 'covid', 'geta', 'mild', 'vaccine', 'population']",POSITIVE,"['#enthusiasm', '#delight']"
